 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 139 , Punjab , NA-140 , Pakpattan-II , 22 , 461 , PML(N) , Rana Iradat Shareef ," 321,325 "," 277,442 "," 598,767 "," 191,344 "," 142,312 "," 333,656 "," 323,112 "," 10,544 ", 56 , 60 , 51 ," 37,683 ", -   ," 104,762 "," 139,322 "," 9,214 ", -   , -   , -   ," 2,675 "," 27,001 ", -   , -   , -   , -   , -   , -   , -   ," 2,455 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 140 , Punjab , NA-141 , Sahiwal-I , 22 , 430 , PML(N) , syed Imran Ahmad Shah ," 313,109 "," 269,323 "," 582,432 "," 170,166 "," 120,075 "," 290,241 "," 283,161 "," 7,080 ", 50 , 54 , 45 ," 12,970 ", -   ," 107,056 "," 118,240 "," 25,627 ", -   , -   , -   ," 3,430 "," 14,691 ", -   , -   , -   , -   , 302 , -   , -   , 845 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 141 , Punjab , NA-142 , Sahiwal-II , 9 , 431 , IND-PTI , Usman Ali ," 316,934 "," 263,141 "," 580,075 "," 181,759 "," 129,983 "," 311,742 "," 302,321 "," 9,421 ", 54 , 57 , 49 ," 35,025 ", -   ," 107,496 "," 96,125 "," 28,191 ", -   , -   , -   ," 2,493 "," 29,349 ", -   , -   , -   , -   , -   , -   , -   ," 3,642 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 142 , Punjab , NA-143 , Sahiwal-III , 17 , 442 , IND-PTI , Rai Hassan Nawaz ," 314,202 "," 270,496 "," 584,698 "," 181,231 "," 145,944 "," 327,175 "," 321,205 "," 5,970 ", 56 , 58 , 54 ," 111,356 ", -   ," 147,147 ", -   ," 6,303 ", -   , -   , -   ," 3,157 "," 17,629 ", -   ," 32,121 ", -   , -   , -   , -   , -   ," 2,812 ", -   , 220 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 460 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 143 , Punjab , NA-144 , Khanewal-I , 14 , 348 , IND-PTI , M Raza Hayat Hiraj ," 249,924 "," 213,725 "," 463,649 "," 156,013 "," 117,447 "," 273,460 "," 265,434 "," 8,026 ", 59 , 62 , 55 ," 103,862 ", -   ," 118,999 "," 28,827 "," 7,330 ", -   , -   , -   , 816 ," 4,825 ", -   , -   , -   , -   , -   , -   , -   , 496 , -   , -   , -   , -   , -   , 279 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 144 , Punjab , NA-145 , Khanewal-II , 14 , 348 , PML(N) , M Khan Daha ," 247,432 "," 213,976 "," 461,408 "," 138,316 "," 108,849 "," 247,165 "," 242,011 "," 5,154 ", 54 , 56 , 51 ," 54,274 ", -   ," 56,188 "," 102,911 "," 10,583 ", -   , -   , -   ," 1,291 "," 14,764 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 145 , Punjab , NA-146 , Khanewal-III , 20 , 396 , IND-PTI , Zahoor Hussain Qureshi ," 278,841 "," 240,645 "," 519,486 "," 156,075 "," 123,674 "," 279,749 "," 272,897 "," 6,852 ", 54 , 56 , 51 ," 24,356 ", -   ," 112,666 "," 104,739 "," 11,972 ", -   ," 1,393 ", -   ," 1,233 "," 12,859 ", -   , -   , -   , -   , -   , -   , -   ," 3,177 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 502 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 146 , Punjab , NA-147 , Khanewal-IV , 14 , 360 , PML(N) , Ch Iftikhar Nazeer ," 267,075 "," 231,015 "," 498,090 "," 155,681 "," 128,564 "," 283,688 "," 279,115 "," 4,573 ", 57 , 58 , 56 ," 10,914 ", -   ," 83,394 "," 107,708 ", -   , -   , -   , -   ," 1,357 "," 14,283 ", -   ," 61,459 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 147 , Punjab , NA-148 , Multan-I , 13 , 275 , PPPP , Syed Yousuf Raza Gillani ," 229,838 "," 207,319 "," 437,157 "," 132,318 "," 97,189 "," 229,507 "," 216,842 "," 12,665 ", 52 , 58 , 47 ," 8,214 ", -   ," 67,033 "," 57,989 "," 67,326 ", -   ," 1,210 ", -   ," 2,414 "," 12,395 ", 261 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 148 , Punjab , NA-149 , Multan-II , 18 , 338 , IND-PTI , Amir Dogar ," 280,457 "," 258,989 "," 539,446 "," 137,795 "," 98,243 "," 236,038 "," 233,206 "," 2,832 ", 44 , 49 , 38 ," 6,467 ", -   ," 143,613 ", -   ," 14,625 ", 119 , -   , -   ," 6,811 "," 10,658 ", -   ," 50,166 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 138 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 308 , 301 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 149 , Punjab , NA-150 , Multan-III , 16 , 341 , IND-PTI , Zain Qureshi ," 311,296 "," 280,514 "," 591,810 "," 153,348 "," 102,985 "," 256,333 "," 248,572 "," 7,761 ", 43 , 49 , 37 ," 6,065 ", -   ," 126,770 "," 76,758 "," 25,552 ", -   , -   , 65 ," 2,277 "," 9,936 ", -   , -   , -   , -   , -   , -   , -   ," 1,149 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 150 , Punjab , NA-151 , Multan-IV , 9 , 281 , PPPP , Ali Musa Gillani ," 251,296 "," 223,223 "," 474,519 "," 143,205 "," 111,229 "," 254,434 "," 237,879 "," 16,555 ", 54 , 57 , 50 ," 2,744 ", -   ," 71,649 "," 71,463 "," 79,080 ", -   , -   , -   ," 1,553 "," 10,271 ", -   , -   , -   , -   , -   , -   , -   ," 1,119 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 151 , Punjab , NA-152 , Multan-V , 16 , 310 , PPPP , Abdul Qadir Gillani ," 280,450 "," 246,960 "," 527,410 "," 150,282 "," 120,597 "," 270,879 "," 264,306 "," 6,573 ", 51 , 54 , 49 ," 12,623 ", -   ," 62,082 "," 71,259 "," 96,998 ", -   , -   , -   ," 2,048 "," 18,426 ", -   , -   , -   , -   , -   , -   , -   , 657 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 213 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 152 , Punjab , NA-153 , Multan-VI , 19 , 319 , PML(N) , Rana Qasim Noon ," 287,160 "," 252,690 "," 539,850 "," 151,075 "," 129,647 "," 280,722 "," 272,307 "," 8,415 ", 52 , 53 , 51 ," 106,894 ", -   ," 39,657 "," 95,114 "," 17,555 ", -   , -   , -   ," 1,095 "," 10,525 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 216 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,251 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 153 , Punjab , NA-154 , Lodhran-I , 10 , 388 , IND-PTI , Rana Faraz Noon ," 299,333 "," 259,334 "," 558,667 "," 174,405 "," 134,406 "," 308,811 "," 301,008 "," 7,803 ", 55 , 58 , 52 ," 6,026 ", -   ," 134,937 "," 128,438 "," 17,117 ", -   , -   , -   , -   ," 13,995 ", -   , -   , -   , -   , -   , -   , -   , 495 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 154 , Punjab , NA-155 , Lodhran-II , 17 , 369 , PML(N) , Sadeeq Khan Blouch ," 297,602 "," 258,955 "," 556,557 "," 164,031 "," 131,382 "," 295,413 "," 287,797 "," 7,616 ", 53 , 55 , 51 ," 17,596 ", -   ," 53,174 "," 117,671 "," 9,004 ", -   ," 1,505 ", -   , -   ," 14,366 ", -   ," 71,128 ", -   , -   , 545 , -   , -   , 452 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,980 ", -   , 376 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 155 , Punjab , NA-156 , Vehari-I , 11 , 355 , IND-PTI , Ayesha Nazeer ," 262,805 "," 223,869 "," 486,674 "," 140,215 "," 120,027 "," 260,242 "," 254,998 "," 5,244 ", 53 , 53 , 54 ," 14,759 ", -   ," 119,820 "," 90,353 "," 5,211 ", -   ," 2,432 ", -   ," 2,102 "," 18,673 ", -   , -   , -   , -   , -   , -   , -   ," 1,648 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 156 , Punjab , NA-157 , Vehari-II , 15 , 336 , PML(N) , Sajid Mehdi ," 255,137 "," 207,377 "," 462,514 "," 146,329 "," 108,930 "," 255,259 "," 248,257 "," 7,002 ", 55 , 57 , 53 ," 43,893 ", -   ," 79,996 "," 99,332 ", -   , -   , -   , -   , -   ," 24,920 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 116 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 157 , Punjab , NA-158 , Vehari-III , 15 , 344 , PML(N) , Begam Tehmina ," 265,376 "," 224,841 "," 490,217 "," 155,396 "," 116,370 "," 271,766 "," 261,805 "," 9,961 ", 55 , 59 , 52 ," 21,868 ", -   ," 103,052 "," 111,196 "," 3,393 ", -   , -   , -   ," 1,529 "," 18,752 ", -   , -   , -   , -   , -   , -   , -   ," 1,346 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 669 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 158 , Punjab , NA-159 , Vehari-IV , 15 , 355 , IND-PTI , Aurganzaib Khichi ," 264,756 "," 225,050 "," 489,806 "," 152,155 "," 116,677 "," 268,832 "," 263,799 "," 5,033 ", 55 , 57 , 52 ," 4,590 ", -   ," 116,198 "," 96,191 "," 26,796 ", -   ," 4,567 ", -   ," 1,072 "," 12,658 ", -   , -   , -   , -   , -   , -   , -   ," 1,727 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 159 , Punjab , NA-160 , Bahawalnagar-I , 11 , 316 , PML(N) , M Ab Ghaffar Watoo ," 242,773 "," 198,575 "," 441,348 "," 159,439 "," 109,094 "," 268,533 "," 261,529 "," 7,004 ", 61 , 66 , 55 ," 112,870 ", -   ," 8,449 "," 118,116 ", -   , -   , -   , -   , -   ," 21,953 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 141 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 160 , Punjab , NA-161 , Bahawalnagar-II , 20 , 327 , PML(N) , Alam dadla  ," 251,998 "," 207,970 "," 459,968 "," 147,442 "," 101,369 "," 248,811 "," 242,383 "," 6,428 ", 54 , 59 , 49 ," 8,401 ", -   ," 81,655 "," 100,649 "," 9,660 ", -   ," 2,567 ", -   ," 11,146 "," 25,693 ", -   , -   , -   , -   , -   , -   , -   ," 1,162 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 936 , -   , -   , -   , -   , -   , -   , -   , -   , 514 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 161 , Punjab , NA-162 , Bahawalnagar-III , 17 , 347 , PML(N) , Ahsan ul haq Bajwa ," 263,703 "," 223,614 "," 487,317 "," 152,516 "," 119,945 "," 272,461 "," 267,285 "," 5,176 ", 56 , 58 , 54 ," 6,901 ", -   ," 97,871 "," 114,284 "," 8,720 ", -   , -   , -   , 948 ," 14,094 ", -   , -   , -   , -   ," 24,440 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 162 , Punjab , NA-163 , Bahawalnagar-IV , 19 , 349 , PML(Z) , M Ijaz ul Haq ," 267,529 "," 221,171 "," 488,700 "," 157,540 "," 122,261 "," 279,801 "," 274,482 "," 5,319 ", 57 , 59 , 55 ," 82,543 ", -   , 161 ," 72,145 "," 5,618 ", -   ," 2,338 ", -   ," 1,598 "," 19,271 ", -   , -   , -   , -   ," 84,312 ", -   , -   , 840 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,656 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 163 , Punjab , NA-164 , Bahawalpur-I , 13 , 334 , PML(N) , Mian Riaz Hussain  ," 265,335 "," 224,339 "," 489,674 "," 157,306 "," 125,622 "," 282,928 "," 276,292 "," 6,636 ", 58 , 59 , 56 ," 10,291 ", -   ," 117,140 "," 123,360 "," 12,565 ", -   , -   , -   ," 1,963 "," 9,643 ", -   , -   , -   , -   , -   , -   , -   ," 1,330 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 164 , Punjab , NA-165 , Bahawalpur-II , 15 , 380 , PML , Ch Tariq Bashir Cheema ," 262,756 "," 220,826 "," 483,582 "," 169,644 "," 138,173 "," 307,817 "," 298,985 "," 8,832 ", 64 , 65 , 63 ," 115,178 ", -   ," 50,339 ", -   ," 3,162 ", -   ," 1,618 ", -   , 744 ," 11,390 "," 116,554 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 165 , Punjab , NA-166 , Bahawalpur-III , 12 , 294 , PML(N) , Syed Samiulhassan Gillani ," 233,478 "," 203,970 "," 437,448 "," 119,083 "," 101,121 "," 220,204 "," 212,770 "," 7,434 ", 50 , 51 , 50 ," 51,628 ", -   ," 35,394 "," 62,148 "," 48,375 ", -   ," 4,865 ", -   , -   ," 7,630 ", -   , -   , -   , -   , -   , -   , -   , 525 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 172 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,033 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 166 , Punjab , NA-167 , Bahawalpur-IV , 11 , 301 , PML(N) , M Usman Owasi ," 249,022 "," 214,856 "," 463,878 "," 133,526 "," 107,214 "," 240,740 "," 232,550 "," 8,190 ", 52 , 54 , 50 ," 69,000 ", -   ," 35,122 "," 88,503 "," 23,543 ", -   ," 5,337 ", -   , -   ," 11,045 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 167 , Punjab , NA-168 , Bahawalpur-V , 24 , 292 , PML(N) , Malik M Iqbal ," 233,733 "," 214,230 "," 447,963 "," 121,194 "," 92,783 "," 213,977 "," 210,789 "," 3,188 ", 48 , 52 , 43 ," 4,178 ", -   ," 52,270 "," 124,529 "," 9,682 ", -   ," 3,788 ", -   ," 6,859 "," 7,791 ", 368 , -   , -   , -   , -   , -   , -   ," 1,324 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
